dataset: cora, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.5, lam: 1.0, dropnode_rate: 0.2, dropfeature_rate: 0.3, dropedge_rate: 0.1, alpha: 0.5, Loss: 0.6333, TestAcc: 0.8450, Overall
dataset: cora, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.5, lam: 1.0, dropnode_rate: 0.2, dropfeature_rate: 0.3, dropedge_rate: 0.2, alpha: 0.5, Loss: 0.6343, TestAcc: 0.8410, Overall
dataset: cora, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.5, lam: 1.0, dropnode_rate: 0.2, dropfeature_rate: 0.3, dropedge_rate: 0.3, alpha: 0.5, Loss: 0.6370, TestAcc: 0.8420, Overall
dataset: cora, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.5, lam: 1.0, dropnode_rate: 0.2, dropfeature_rate: 0.3, dropedge_rate: 0.4, alpha: 0.5, Loss: 0.6451, TestAcc: 0.8460, Overall
dataset: cora, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.5, lam: 1.0, dropnode_rate: 0.2, dropfeature_rate: 0.3, dropedge_rate: 0.5, alpha: 0.5, Loss: 0.6417, TestAcc: 0.8460, Overall
dataset: cora, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.5, lam: 1.0, dropnode_rate: 0.2, dropfeature_rate: 0.4, dropedge_rate: 0.0, alpha: 0.5, Loss: 0.7261, TestAcc: 0.8550, Overall
dataset: cora, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.5, lam: 1.0, dropnode_rate: 0.2, dropfeature_rate: 0.4, dropedge_rate: 0.1, alpha: 0.5, Loss: 0.6268, TestAcc: 0.8460, Overall
dataset: cora, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.5, lam: 1.0, dropnode_rate: 0.2, dropfeature_rate: 0.4, dropedge_rate: 0.2, alpha: 0.5, Loss: 0.6351, TestAcc: 0.8420, Overall
dataset: cora, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.5, lam: 1.0, dropnode_rate: 0.2, dropfeature_rate: 0.4, dropedge_rate: 0.3, alpha: 0.5, Loss: 0.6408, TestAcc: 0.8440, Overall
dataset: cora, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.5, lam: 1.0, dropnode_rate: 0.2, dropfeature_rate: 0.4, dropedge_rate: 0.4, alpha: 0.5, Loss: 0.6447, TestAcc: 0.8420, Overall
dataset: cora, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.5, lam: 1.0, dropnode_rate: 0.2, dropfeature_rate: 0.4, dropedge_rate: 0.5, alpha: 0.5, Loss: 0.6459, TestAcc: 0.8470, Overall
dataset: cora, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.5, lam: 1.0, dropnode_rate: 0.2, dropfeature_rate: 0.5, dropedge_rate: 0.0, alpha: 0.5, Loss: 0.7426, TestAcc: 0.8550, Overall
dataset: cora, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.5, lam: 1.0, dropnode_rate: 0.2, dropfeature_rate: 0.5, dropedge_rate: 0.1, alpha: 0.5, Loss: 0.6434, TestAcc: 0.8380, Overall
dataset: cora, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.5, lam: 1.0, dropnode_rate: 0.2, dropfeature_rate: 0.5, dropedge_rate: 0.2, alpha: 0.5, Loss: 0.6437, TestAcc: 0.8430, Overall
